LOAD_ID,BOOKING_DT,BOOKING_TM,ORIG,PKUP_ST_DT,PKUP_ST_TM,PKUP_END_DT,PKUP_END_TM,PKUP_ARRIVAL_ACT_DT,PKUP_ARRIVAL_ACT_TM,PKUP_DEPARTURE_ACT_DT,PKUP_DEPARTURE_ACT_TM,DEST,DLVERY_ST_DT,DLVERY_ST_TM,DLVERY_END_DT,DLVERY_END_TM,DLVERY_ARRIVAL_ACT_DT,DLVERY_ARRIVAL_ACT_TM,DLVERY_DEPARTURE_ACT_DT,DLVERY_DEPARTURE_ACT_TM,MILEAGE
30000,20200806,936,462757,20200806,700,20200806,1800,20200806,1632,20200806,2006,919309,20200807,700,20200807,2359,20200807,1355,20200807,1413,421
30001,20200806,948,2740213,20200807,900,20200807,1600,20200806,1153,20200806,1417,1111409,20200810,800,20200810,1400,20200810,1308,20200810,1358,1676
30002,20200806,954,1809021,20200807,100,20200807,100,20200807,2102,20200807,2138,1298307,20200810,800,20200810,800,20200810,804,20200810,859,664
30003,20200806,955,1809021,20200807,100,20200807,100,20200807,1101,20200807,1131,1298307,20200810,900,20200810,900,20200810,1534,20200810,1644,664
30004,20200806,958,1809021,20200807,100,20200808,1600,20200808,1028,20200808,1030,1298307,20200810,1000,20200810,1000,20200810,1051,20200810,1306,664
30005,20200806,1004,1809021,20200808,100,20200808,100,20200808,1205,20200808,1208,1298307,20200810,1100,20200810,1100,20200810,858,20200810,939,664
30006,20200806,1005,1809021,20200808,100,20200808,100,20200808,1521,20200808,1523,1298307,20200810,1200,20200810,1200,20200809,1436,20200810,748,664
30007,20200806,1007,1809021,20200808,100,20200808,100,20200808,516,20200808,519,1298307,20200810,1500,20200810,1500,20200810,826,20200810,900,664
30008,20200806,1008,1809021,20200809,100,20200809,1600,20200809,1400,20200809,1600,1298307,20200810,1600,20200810,1600,20200810,1012,20200810,1241,664
30009,20200806,1009,1809021,20200809,100,20200809,100,20200809,1331,20200809,1332,1298307,20200810,1700,20200810,1700,20200810,1404,20200810,1429,664
30010,20200806,1010,1809021,20200809,100,20200809,100,20200808,1244,20200808,1408,1298307,20200810,1800,20200810,1800,20200810,1413,20200810,1414,664
30011,20200806,1011,1298307,20200807,500,20200807,700,20200807,651,20200807,751,1809021,20200808,1900,20200809,700,20200807,1910,20200807,2042,664
30012,20200806,1008,1226907,20200806,800,20200806,1700,20200806,1324,20200806,1449,1303067,20200807,700,20200807,1530,20200807,658,20200807,743,253
30013,20200806,1013,1298307,20200807,800,20200808,1000,20200807,853,20200807,951,1809021,20200808,1900,20200809,700,20200808,1009,20200808,1009,664
30014,20200806,1015,1298307,20200808,600,20200808,800,20200808,1508,20200808,1508,1809021,20200808,1900,20200809,700,20200809,2032,20200809,2112,664
30015,20200806,1017,1809021,20200810,100,20200810,100,20200809,2039,20200809,2144,1298307,20200811,800,20200811,800,20200811,740,20200811,834,664
30016,20200806,1018,1809021,20200810,100,20200810,100,20200809,1730,20200809,1736,1298307,20200811,900,20200811,900,20200811,1049,20200811,1050,664
30017,20200806,1019,1228947,20200806,1431,20200806,1431,20200806,1313,20200806,1442,1447907,20200807,900,20200807,900,20200806,2100,20200806,2100,187
30018,20200806,1020,1809021,20200812,1100,20200812,1100,20200812,1604,20200812,1611,1618893,20200813,1230,20200813,1330,20200813,1127,20200813,1248,411
30019,20200806,1022,1809021,20200811,100,20200811,100,20200811,1211,20200811,1220,1618893,20200812,930,20200812,1030,20200812,749,20200812,945,411
30020,20200806,1024,1809021,20200812,1100,20200812,1100,20200814,1946,20200814,2052,1618893,20200815,1700,20200815,1700,20200815,1624,20200815,1718,411
30021,20200806,1025,1809021,20200811,1100,20200811,1100,20200811,1807,20200811,1807,1618893,20200812,1730,20200812,1830,20200812,1728,20200812,1728,411
30022,20200806,1027,1809021,20200812,1100,20200812,1100,20200812,1409,20200812,1424,1618893,20200813,930,20200813,1030,20200813,956,20200813,1111,411
30023,20200806,1028,1298307,20200807,900,20200807,1100,20200807,836,20200807,939,1809021,20200808,1900,20200809,700,20200809,1825,20200809,2035,664
30024,20200806,1035,1298307,20200807,1300,20200807,1500,20200807,1235,20200807,1458,1809021,20200808,1900,20200809,700,20200809,2127,20200809,2156,664
30025,20200806,1038,1485511,20200806,1200,20200806,1500,20200806,1350,20200806,1517,1278859,20200807,100,20200807,2300,20200807,1202,20200807,1253,389
30026,20200806,1036,1298307,20200807,1400,20200807,1600,20200807,1604,20200807,1720,1809021,20200809,100,20200809,1830,20200808,2053,20200809,1400,664
